제목,저자,역자,글그림,그림,기획,감수,글,출판사,출간일,가격,평점,리뷰수,상세페이지링크,페이지 수,카테고리,책설명
체제전쟁 마스터플랜,이희천,,,,,,,대추나무,2025년 09월,14400,8.2,9,https://www.yes24.com/product/goods/154835295,208,국내도서 사회 정치 국방 군사 국방일반,"""팔이 빠질 것 같다. 제발 놔 달라.""2025년 1월, 윤석열 대통령의 이 절규는 단순히 체포조를 향한 외침이 아니었다. 그것은 자유민주주의 체제가 무너지는 것을 막기 위해 홀로 싸우는 전사의 외침이었고, 국민과 세계를 향한 SOS였다. 이 책은 현재 대한민국이 직면한 체제전쟁의 실체를 적나라하게 드러낸다. 전 국정원 교수 출신으로서 20여 년간 종북 세력과 싸워온 자는 윤석열 대통령과 우파 세력에게 씌워진 '내란 프레임'이 얼마나 부당한지, 그리고 실제 내란 세력이 누구인지를 명확한 증거와 논리로 밝혀낸다. 특히 이 책은 더불어민주당이 어떻게 종북 좌익 정당으로 변모했는지, 이석기의 경기동부연합이 통합진보당 해산 이후 어떻게 더불어민주당을 장악했는지를 상세히 추적한다. 2001년 '군자산의 약속'에서 ""10년 안에 정권을 잡겠다""고 선언한 그들이 실제로 어떻게 목표를 달성해왔는지, 그 과정에서 북한의 대남공작이 어떤 할을 했는지를 일심회 사건, 왕재산 간첩단 사건 등 구체적 사례를 통해 입증한다.자는 좌익세력이 40여년 간 활용해온 '프레임 전술'의 비밀도 공개한다. '진보-보수' 프레임으로 어떻게 젊은 세대를 대량 흡수했는지, '내란 프레임'으로 어떻게 우파를 무력화시켰는지를 분석하고, 이를 전시킬 '프레임' 전략을 제시한다. 특히 ""대한민국세력 vs 반대한민국세력""이라는 새로운 프레임 설정을 통해 중도와 우파를 통합하고 좌파 진영을 분열시킬 방법을 구체적으로 설명한다. 2020년 총선부터 제기된 부정선거 의혹도 정면으로 다룬다. 지난 2000년 총선 사전투표에서 보인 이상한 63% 대 36%의 일정한 비율, 이번 대선에서 보인 사전투표와 본투표간 52%p 극심판 편차, 국정원이 밝힌 선관위 시스템의 해킹 취약성 등을 근거로 부정선거가 음모론이 아닌 현실적 위협임을 경고한다. 무엇보다 이 책의 가치는 절망적 현실 진단에 그치지 않고 구체적인 '대전 전략'을 제시한다는 점이다. 자는 2012년 전군 정훈장교 교육으로 총선 승리에 기여한 경험을 바탕으로, ""국민깨우기운동""의 구체적 실행 방안을 제시한다. 특히 2026년 6월 지방선거를 ""대한민국을 구할 마지막 기회""로 규정하고, 승리를 위한 상세한 로드맵을 그려낸다."
체인소 맨 12,후지모토 타츠키,,,,,,,학산문화사,2023년 01월,5400,9.9,382,https://www.yes24.com/product/goods/117008738,0,없음,책소개 없음
2026 써니 행정법총론 기출문제집,박준철,,,,,,,제이씨에듀,2025년 09월,41400,9.9,62,https://www.yes24.com/product/goods/152961502,"1,320",국내도서 수험서 자격증 공무원 행정법 기출문제집,"철하게 분석하여 엄선한 문제와 정확하고 이해하기 쉬운 해설로, 기출문제 회독은 『2026 써니 행정법총론 기출문제집』으로 끝!『2026 써니 행정법총론 기출문제집』에서는 기출문제를 분류하여 변화를 이끌었다. [필수편]은 인사혁신처, 소방직 9급, 군무원 7·9급 기출문제들로 구성하고, [완성편]은 소방간부, 경찰간부, 변호사, 국회직 8·9급 등 기출문제들로 구성하여 수험 적합도를 높였다. 주요 시험의 문항별 ‘정답률’을 제시함으로써 단순히 감으로 난이도를 파악하는 것에서 벗어나 객관적으로 기출문제를 분석할 수 있도록 하였다. 그중에서도 최신 3개년 기출문제에는 선택지마다 ‘선택률’을 표시함으로써 기출지문을 좀 더 체계적으로 분석할 수 있도록 유용성을 제고하였다.기본 편제는 기본서에 따르며, ‘절’ 단위로 시행일 기준 최신 순으로 문항을 배치하여 최근 출제경향을 보다 빠르게 파악할 수 있도록 하였다. 모든 문항별로 난이도를 표시하였을 뿐만 아니라 ‘대표’와 ‘빈출’을 표기하였다.자주 출제되는 판례와 조문들과 관련된 기출지문들을 ‘기출체크’로 문항별 하단에 적절하게 배치하였으며, 이를 통해 하나의 판례나 조문이 실제 시험에서 어떤 식으로 다양하게 변형되는지를 파악함으로써 문제 적응력을 키울 수 있도록 하였다. [필수편]의 각 편별 ‘마무리 하프 모의고사’를 통해 자신의 학습 위치 점검과 동시에 복습까지 가능하도록 구성하였으며, [완성편]의 ‘플러스 기출 모의고사’를 통해 출제된 주요 논점들을 다시 한번 정리할 수 있도록 하였다."
평범하지만 부자가 되고 싶어,"김종봉, 제갈현열",,,,,,,다산북스,2025년 10월,17100,10.0,8,https://www.yes24.com/product/goods/159167998,372,국내도서 자기계발 성공학 경력관리,"8년 동안 10시간씩 투자하고12년 동안 34만 명과 소통하며 찾은 단 하나의 길“돈을 받는 삶이 아니라돈을 만드는 삶을 살기로 했다”★블로그 누적 방문자 588만 명★ ★출연 유튜브 조회수 누적 1400만 뷰★★생각을 행동으로 바꾸는 미션지 14개 수록★『돈 공부는 처음이라』, 『돈의 시나리오』, 『돈은, 너로부터다』로 ‘돈 공부’ 열풍을 일으킨 김종봉, 제갈현열 작가의 첫 자기계발서 『평범하지만 부자가 되고 싶어』가 출간되었다. 20만 부가 팔린 세 권의 ‘돈 시리즈’에서는 ‘돈의 본질’과 ‘투자법’을 전하는 데 집중했다면, 이번 신간에서는 삶의 구조를 재설계해 부자의 길에 진입하는, 보다 실천적인 인생 전략을 제시한다. 이 책은 부자가 되고 싶어 하는 수만 명의 사람과 소통하고 코칭하며, ‘평범함’을 ‘자산’으로 바꾸는 단 하나의 길을 발견한 자의 경험에서 그 해답을 찾는다. 자 재능도, 운도 없던 시절을 지나며 ‘평범하다’라는 말이 칭찬으로 들릴 정도의 시기를 보낸 적이 있었다. 자신뿐 아니라 여러 상담자의 성공과 실패, 좌절과 회복의 과정을 풀어놓는 이 책 속의 조언이 현실적으로 느껴지는 이유다. 이번 책에서 자가 제시하는 3F 모델은 자신의 본질을 찾고(FIND), 쌓고(FORGE), 자유(FREE)로워지는 방법이다. 자신이 처한 현실을 직시하고 부자가 되는 확실한 길을 모색하는 방법에 더해 투자를 완전히 포기할 때 느끼기 쉬운 불안함을 해소해 주기 위해 확실한 수익을 보장하는 전업투자자로서의 노하우까지 담았다. 각 단계는 간단명료할 뿐 아니라 ‘시간 점검’, ‘자기선언문’, ‘반토막 전략’ 등 14개의 미션지를 수록해 그 따라 하기만 하면 누구나 쉽게 방법을 실천할 수 있도록 설계되었다. 이 책은 단순히 ‘돈을 버는 법’을 알려주는 책이 아니다. 자신을 더 잘 이해하고 지금 자기 삶의 방향이 어디로 향하고 있는지를 돌아보게 하는 책이다. 지금 당신은 부자가 되기 위한 삶을 살고 있는가? 이 질문에 진심으로 답하고 싶은 모든 사람에게, 이 책은 인생의 두 번째 기회를 열어준다."
마남 이치 2 더블특전판,니시 오사무,유유리,시로 우사자키,,,,,서울미디어코믹스(서울문화사),2025년 10월,6300,10.0,5,https://www.yes24.com/product/goods/158755036,192,국내도서 만화 라이트노벨 판타지,"2025 차세대 만화대상 만화 부분 1위, 마법 헌팅 판타지의 화려한 등장!팀 데스카라스의 대원이 된 이치는 마녀협회의 임무로 빙교 사냥에 파견된다.도착한 곳에는 얼음이 된 마을 사람들의 모습이…!!생물을 얼음 덩어리로 만드는 흉악한 “빙교의 마법”을 사냥해 습득하기 위해, 극한의 땅에서 가혹한 시련에 도전한다――!!데스카라스와 쿠무기가 어려운 시련에 고전하는 사이, 이치가 놀라운 비책을 떠올리는데…?!"
어쩔수가없다 각본,"박찬욱, 이경미, Don McKellar, 이자혜",,,,,,,을유문화사,2025년 10월,15300,10.0,1,https://www.yes24.com/product/goods/155288313,188,국내도서 예술 영화 드라마 시나리오 연출,"박찬욱이 17년 동안 마음에 품고 있던 쓴웃음그 속에 담긴 냉혹하고 비정한 세상박찬욱 감독의 2025년 작 「어쩔수가없다」는 구상부터 개봉에 이르기까지 무려 17년이 걸린 영화다. 도널드 웨스트레이크의 소설 『액스』를 원작으로 한 이 각본은 처음에는 미국에서 제작하기 위해 영어로 작성되었고, 이후 다시 한국으로 배경을 옮기는 등 많은 곡절을 겪었다. 보통 이런 과정에서 기획이 한두 번 무산되고 나면 다시 시도되는 경우는 드물지만 박찬욱 감독은 이 스토리에 특별하리만치 애착을 가졌고, 그 결과 10년이 넘는 세월을 뛰어넘어 영화로 만들어지기에 이른 것이다.이 영화는 원작 소설과 마찬가지로 해고당한 뒤 재취업에 목을 맨 노동자가 자신의 경쟁 상대로 평가받는 사람들을 살해한다는 이야기를 담고 있다. 자본주의 세계를 살아가는 사람들에 관한 잔혹 우화인 셈이다. 원작 소설은 스릴러와 블랙코미디를 뒤섞음으로써 이 우화적 설정을 풀어내는데, 마침 스릴러와 블랙코미디는 박찬욱 감독이 가장 잘 수행하는 장르이기도 하다. 영화 팬들은 「어쩔수가없다」가 원작의 두 가지 특성 가운데 어느 쪽에 집중할지 궁금해했다.박찬욱 감독의 선택은 블랙코미디였다. 「어쩔수가없다」에는 감독의 어떤 전작보다 많은 코미디가 담겨 있고, 슬랩스틱부터 언어유희까지 그 종류도 다양하다. 그런데 이 영화가 관객에게 큰 웃음을 주는 순간들을 살펴보면 정작 그 코미디를 실행 중인 인물들이 즐거워하는 모습은 찾아볼 수 없다. 이는 기억에 남을 만한 웃음을 선사하는 코미디 영화들이 가지고 있는 특성이다. 이런 영화들은 일부러 웃음을 유도하지 않고 어처구니없는 상황 안에 놓인 인물들이 두려움과 급박함 때문에 실수와 오판을 거듭하는 모습을 선보이며, 이를 통해 관객을 웃기면서도 그들의 마음속에 불안이나 슬픔을 남긴다. 「어쩔수가없다」가 제공하는 웃음 시 그런 부류에 속한다."
트레이딩의 전설,키움증권 채널K,,,,,,,넥스트씨,2025년 10월,15300,8.4,11,https://www.yes24.com/product/goods/154845615,256,국내도서 경제 경영 투자 재테크 주식 증권,"결과로 증명된 실전 매매 노하우, 이제 당신의 무기가 된다!- 820만 뷰를 기록한 화제의 인터뷰를 책으로! - 기법을 넘어 원칙과 생존 철학까지 담았다- 불개미, 신정재, 청사진, 방배동선수, 만쥬, 바른다른, 캐리, 월억언제해보나, 뭐라도되겠지 등 9인의 실전 트레이딩 비법 공개- 트레이딩 기법부터 HTS 설정법, 복기 방법론, 멘탈 관리까지매일 수십 번의 매매와 손실, 복기와 성찰 속에서 살아남아 실전투자대회에서 실력을 검증받은 9인의 실전 고수들! 그들은 어떻게 계좌를 키우고, 지켜왔을까?“깨끗한 자리에서만 매수하라”는 원칙으로 4주 만에 816% 수익률을 달성한 올라운드 트레이더 불개미, 호가창보다 추세와 거래량을 믿으며 장 마감 30분을 가장 큰 승부처로 삼은 종가매매의 신정재, 매일 뉴스와 데이터를 매칭하며 루틴을 만든 청사진, 눌림목에서만 매수하고 급등 시 과감히 매도하는 스윙 트레이더 방배동 선수 등이 그 주인공이다. 이어지는 초단타 스캘핑의 세계 또한 치열하다. 만쥬는 매수 후 1분 안에 흐름이 나오지 않으면 즉시 손절하고, 바른다른은 “아무 데서나 매수하지 않는다”는 철칙으로 기다림의 매매를 실천했다. 캐리는 호가창만으로 시장을 돌파하는 젊은 천재로, 순간 반응 속도 하나로 수천 퍼센트 수익률을 기록했다. 월억언제해보나는 HTS를 원클릭 매매 환경으로 최적화하며 변동성을 사냥했고, 뭐라도되겠지는 “손절 원칙만 지키면 상따는 최고의 매매법”이라는 믿음으로 상한가 직전의 과감한 진입을 성공으로 연결했다.이들의 이야기를 읽다 보면 매매 기법보다 더 강하게 와닿는 것이 있다. 바로 ‘원칙’이다. 원칙 없는 투자는 결국 큰 손실로 이어지고, 원칙을 지키는 힘이야말로 시장에서 오래 살아남게 만든다. 책 속에는 매일의 루틴, 멘탈 관리, 출금 습관, 리스크 컨트롤 같은 실제 행동 지침이 구체적으로 담겨 있어, 누구나 자신의 투자 생활에 곧바로 적용할 수 있다.『트레이딩의 전설』은 시장을 이기는 법을 말하지 않는다. 대신 살아남는 법, 그리고 꾸준히 계좌를 지키며 성장하는 법을 보여준다. 단타든 스윙이든, 투자 스타일은 다르더라도 “내 원칙을 세우고 끝까지 지켜낼 수 있는가”라는 질문은 모든 투자자에게 동일하다. 직장과 가정, 그리고 투자까지 책임져야 하는 독자들에게 이 책은 다시 계좌를 들여다보게 하고, 투자 습관을 점검하게 만들며, 시장에서 오래 살아남는 길이 무엇인지 생각하게 하는 실전형 교과서다."
"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성,,,,,,,이투스북 ,2024년 12월,14400,9.7,141,https://www.yes24.com/product/goods/140199263,304,"국내도서 수험서 자격증 한국사능력검정시험 심화(1,2,3급)","오랜 연구와 검증으로 한국사에 기초가 전혀 없는 사람도 단기간에 한능검에 합격할 수 있는 최적의 구성을 완성하였다. 판서의 장인 큰별쌤 최태성이 핵심만을 모아 만든 아트 판서를 수록하고, 시험에 자주 등장하는 사료, 사진, 지도 등을 모아 해설하여 합격을 위한 필수 개념을 익히기 쉽게 하였다. 또한, 한능검 기출문제를 모두 분석한 후, 기출 선택지를 이용한 별 채우기 문제를 수록하여 자연스럽게 기출 선택지가 기억될 수 있도록 하였고, 반복적으로 출제되는 주제의 최신 기출문제를 꼼꼼하고 친절한 해설과 함께 담아 실전에 대비할 수 있도록 하였다. 여기에 한국사 연표와 지의 사를 담은 지도를 통해 한국사 흐름잡기가 더욱 쉬울 것이다.※ 제시된 이미지는 책의 뒷표지입니다. 『2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하』의 앞표지는 1억원 기부를 통해 사랑의 열매 '아너 소사이어티'에 가입할 수 있도록 함께 지원해 주신 최태성 1, 2TV 별님들로 구성되었습니다."
한국의 미래,박석중,,,,,,,페이지2북스,2025년 09월,19800,9.6,46,https://www.yes24.com/product/goods/153255887,276,국내도서 경제 경영 경제 각국 경제 경제사 전망 경제전망,"SK, LG, 삼성 등 국내 유수의 대기업 강연 섭외 1순위!신한투자증권 박석중 애널리스트의 첫 단독 서 “기다려온 책이다. 그의 통찰은 늘 깊고 현실적이다. 널리 읽히길 바란다.” _ SK 수펙스추구협의회 의장 최창원위대한 미국을 향한 트럼프의 세계 질서 재편부터코스피 5000을 향한 이재명 신정부의 미래 시나리오,세계를 뒤흔들 기술혁명의 이면까지!한국의 미래를 판가름할 마지막 골든타임을 맞이하라!"
질문의 숲,김종원,,,,,,,포레스트북스,2025년 09월,16200,9.9,64,https://www.yes24.com/product/goods/153497124,264,국내도서 청소년 청소년 생활 자기관리,"★누적 판매 15만 부★5년 연속 청소년 분야 최장기 베스트셀러 시리즈★120만 학부모가 기다려 온 AI시대 청소년 인문 필독서“이 숲에선 마음껏 질문을 펼쳐 보렴!헤맨 만큼 너의 길이 될 테니까”120만 독자가 응원하는 김종원 작가의10대를 위한 아주 특별한 인문학 수업우리는 늘 ‘정답’에서 벗어나지 않으려 애쓴다. 이제는 앉은 자리에서 손가락만 몇 번 움직이면 손쉽게 AI가 대부분의 질문에 답을 준다. 아이들이 살아갈 미래는 지금보다 훨씬 더 많은 것을 AI가 대신해 줄 것이다. 그럴수록 스스로 생각하는 힘은 약해질 수밖에 없다. 그러나, 삶은 누가 대신 살아줄 수 있는 게 아니다. 정해진 답이 아닌 자기만의 길을 찾아야 하는 이유다.『질문의 숲』은 청소년 시리즈 장기 베스트셀러 ‘숲 시리즈(철학의 숲, 고전의 숲, 신화의 숲, 논리의 숲)’의 다섯 번째 책으로, 120만 독자가 신뢰하는 인문학 멘토 김종원 작가가 고민 많고 흔들리는 10대를 위해 섬세하게 고심해서 쓴 책이다. “고민과 걱정은 뭐가 다른 걸까?”, “가까운 사람과 자주 다투는 이유는 뭘까?” 같은 일상의 작은 고민부터 “행복은 꼭 고생해야 얻을 수 있을까?”, “불행은 왜 일어날까?” 같은 인생의 큰 물음까지, 우리 안에 잠든 질문의 씨앗을 깨워준다.지금 필요한 것은 정해진 답이 아니라, 더 나은 삶으로 이끌어주는 ‘좋은 질문’이다. 질문을 시작으로 아이들은 주변을, 세상을, 그리고 자기 자신을 더 깊이 이해하게 된다. 글쓰기, 관계, 감정, 태도, 선택 등 삶과 맞닿은 70개의 질문들은 아이들이 단단하고 유연한 질문가로 자라나도록 도울 것이다."
우리는 언제나 다시 만나,윤여림,,,안녕달,,,,위즈덤하우스,2017년 07월,10800,9.8,616,https://www.yes24.com/product/goods/43862350,양,국내도서 유아 4-6세 4-6세 우리나라 그림책,"엄마가 세상에 하나뿐인 아이에게 전하는 사랑과 응원의 메시지 신이 세상 모든 곳에 존재할 수 없어 ‘엄마’가 존재한다는 말이 있습니다. 그만큼 ‘엄마’라는 존재는 아이에게 세상에서 가장 따뜻한 품이자 든든한 버팀목이 아닐까요? 엄마 또한 세상에 하나뿐인 아이를 위해 무엇이든 다 할 수 있고, 무엇이든 해 주고 싶은 마음입니다. 하지만 아이가 점점 자라면서 엄마가 아이와 모든 것을 함께 할 수 없다는 걸 알게 됩니다. 그리고 언젠가는 엄마 곁을 떠나 아이 혼자서 세상을 마주하고, 혼자서 걸어가야 할 순간이 찾아오지요. 바로 그때 엄마가 아이에게 들려줘야 할 그림책이 있습니다. 『우리는 언제나 다시 만나』는 앞으로 멋지게 세상을 살아갈 아이에게 전하는 엄마의 사랑과 응원의 메시지입니다. 태어나서 어른이 될 때까지....... 변화무쌍한 성장 과정 속에서 아이에 대한 엄마의 변함없는 사랑을 이야기합니다. 아주 오랫동안 떨어져 있다 해도, 엄마는 너를 사랑하고, 언제나 우리는 다시 만난다는 걸 알려줍니다. 그러니 세상을 누비며 마음껏 날아다니다 힘들면 언제든 엄마를 찾아오라고 말하지요. 다시 날아오를 힘이 생길 때까지 꼭 엄마가 꼭 안아 줄 거니까요. 이 책은 엄마라면 누구나 공감하고 아이에게 매일매일 들려주고 싶을 것입니다. 지금 끊임없이 엄마를 찾는 유아기 아이의 엄마뿐 아니라, 앞으로 태어날 아이를 기다리는 예비 엄마, 어느덧 아이가 자라서 곧 떠나 보내야 할 청소년기 아이의 엄마… 모든 엄마가 사랑하는 아이에게 들려주고 싶은 따뜻한 사랑과 힘찬 응원을 담고 있습니다."
스토너,존 윌리엄스,김승욱,,,,,,알에이치코리아(RHK),2015년 01월,15120,9.4,724,https://www.yes24.com/product/goods/15718330,396,국내도서 소설 시 희곡 영미소설 영미 장편소설,"“사는 모습은 달라도, 우리는 누구나 스토너다.” 조용하고 절망적인 생에 관한 소박한 이야기,그러나 50년의 시차를 지나 전 세계인의 마음을 사로잡은 위대한 이야기!2013 워터스톤 올해의 책 영국, 프랑스, 독일, 네덜란드 등 전 유럽 베스트셀러출간 후 50년, 미국을 넘어 전 세계를 사로잡은 위대한 소설,《스토너》묵묵히 자신의 길을 걷고자 했던 한 남자의 삶이 시간과 공간을 넘어 지금 우리의 마음을 파고든다.지난 2013년, 영국 최대의 체인 서점인 ‘워터스톤’ 올해의 책으로 선정된 도서는 요즘 가장 주목받는 작가라는 줄리언 반스의 책도, 케이트 앳킨스의 책도 아니었다. 농부의 아들로 태어나 문학을 사랑했으며 묵묵히 자신의 길을 가고자 했던 내성적인 한 남자의 일생을 그린 소박하기만 한 이야기,《스토너》가 바로 그 주인공이었다. 특별한 계기가 있거나 새삼스러운 이슈로 주목받은 것도 아니었다. 언뜻 초라한 실패담에 불과해 보이는 이 책은, 누구의 탓도 하지 않고 묵묵히 자신의 방식으로 슬픔을 받아들이는 주인공 윌리엄 스토너의 일생이 큰 공감을 불러일으키며 유럽 독자들의 마음을 온통 사로잡았다. 1965년 미국에서 발표된 후, 오랜 시간 동안 독자들에게 잊힌《스토너》는 영국, 프랑스, 독일, 네덜란드 등 유럽 출판계와 평론가, 독자들의 열렬한 반응을 이끌어내며 베스트셀러가 되었다. 50년의 시차를 가볍게 뛰어넘어, 작가 존 윌리엄스가 세상을 떠난 지 20년 만에 비로소 제대로 된 세상의 평가를 받게 된 것이다. 미국과 유럽을 넘어 전 세계에 ‘늦고도 새로운 감동’을 전한 베스트셀러.《스토너》가 드디어 한국 독자들을 찾아왔다."
해커스 일본어 첫걸음 : 일본어 기초 20일 독학 완성!,해커스 일본어연구소,,,,,,,해커스어학연구소,2024년 05월,12510,9.6,313,https://www.yes24.com/product/goods/102502665,332,국내도서 국어 외국어 사전 일본어 일본어 입문서,"따라만 해도 일본어가 술~술~20일만에 일본어 기초 완성! 일본어를 하나도 몰라도, 따라 읽기만 하면 말문이 트이는 체계적인 학습으로 구성되어 있고 [문형으로 말문 트기+문형 탐구+실생활 회화 자동발사]로 쉽고 재미있게 학습할 수 있다. [문형 활용한 긴 문장 말하기+연습문제로 실력 확인하기]로 배운 것을 내 것으로 만들 수 있으며 문자 암기와 문형 학습을 도와줄 [히라가나/가타카나표+동사 활용표+쓰기 노트+워크북]와 언제 어디서든 MP3를 손쉽게 들을 수 있는 QR코드가 수록되어 있다."
해커스 토익 기출 VOCA (보카),David Cho,,,,,,,해커스어학연구소,2024년 08월,11610,9.6,1156,https://www.yes24.com/product/goods/67362730,556,국내도서 국어 외국어 사전 영어 토익 TOEIC 어휘 VOCA,토익 기출 보카 30일 완성!주제별 연상암기로 쉽고 재미있게 단어 학습이 가능하며 최신 기출 단어 및 출제포인트 수록했다. 목표 점수대별 필수 단어로 맞춤 학습을 할 수 있으며 출제율 높은 핵심 단어만 골라 효율적으로 학습할 수 있다. 토익 신유형 대비 [토익 필수 이디엄 표현]을 수록했고 실전 감각을 키우는 토익 실전문제 13회분을 제공(교재 3회+온라인 10회)한다.
"AI 시대의 질문력, 프롬프트 엔지니어링",류한석,,,,,,,코리아닷컴(Korea.com),2025년 08월,24300,9.8,26,https://www.yes24.com/product/goods/150566390,528,국내도서 IT 모바일 인공지능 인공지능 일반,"대한민국 최고의 대기업과 공공기관이 선택한 프롬프트 엔지니어링 교과서당신의 질문력이 곧 당신의 경쟁력이다!책에 포함된 QR 코드를 통해 모든 프롬프트를 다운로드할 수 있다.이제 프롬프트는 새로운 교양이다. 누구나 써야 하고, 제대로 써야 한다. 챗GPT를 쓰기는 하는데 제대로 쓸 줄 모르는 당신을 위한 책. AI에게 질문하기는 쉽지만, 질문 방식에 따라 결과가 천차만별이기 때문에 올바른 질문법이 중요하다. AI는 다양한 지식을 조합해 제공할 수 있지만, 당신의 의도까지 알아서 파악하기는 어렵다. 즉, 질문의 의도와 맥락을 ‘기계가 이해할 수 있도록’ 효과적으로 전달하는 능력이 필요하다. 프롬프트 엔지니어링은 AI와의 대화 및 문제 해결 방식을 만드는 사고의 틀이자 다양한 량이 결합된 통합적 기술이다. AI 시대에는 질문력이 곧 경쟁력이 된다. 같은 AI라도 사용자의 프롬프트 엔지니어링 능력에 따라 결과물의 품질과 효율은 하늘과 땅 차이가 나게 된다.이 책은 자가 삼성전자, 현대자동차, SK텔레콤, 국토교통부, 국방전산정보원 등 최고의 대기업과 공공기관에 제공한 프롬프트 엔지니어링 교육 콘텐츠를 완벽하게 정리하고 개선한 결정판으로, 프롬프트 작성의 탄탄한 기초를 제공하는 동시에 AI 잠재력을 120% 끌어낼 실용적인 레시피가 담겨 있다. 프롬프트 전문가가 되기 위한 기초적인 이해에서부터 AI를 똑똑한 부하직원으로 써먹을 수 있는 질문의 기본 구조, 나아가 다양한 상황에서 바로 적용할 수 있는 프롬프트 패턴과 프레임워크까지, 생성형 AI를 제대로 사용하고 싶은 당신의 니즈를 모두 담은 책! 이 한 권이면 프롬프트를 마스터할 수 있다."
급류,정대건,,,,,,,민음사,2022년 12월,12600,8.8,480,https://www.yes24.com/product/goods/116586303,양,국내도서 소설 시 희곡 한국소설 한국 장편소설,"2020년 《한경신춘문예》에 장편소설 『GV 빌런 고태경』이 당선되어 작품 활동을 시작한 소설가 정대건의 두 번째 장편소설 『급류』가 오늘의 젊은 작가 시리즈 40번으로 출간되었다. 『급류』는 수지와 계곡이 유명한 지방도시 ‘진평’을 배경으로, 열일곱 살 동갑내기인 ‘도담’과 ‘해솔’의 만남과 사랑을 그린 소설이다. 아빠와 함께 수영을 하러 갔던 도담이 한눈에 인상적인 남자아이 ‘해솔’이 물에 빠질 뻔한 것을 구하러 뛰어들며 둘의 인연은 시작된다. 운명적이고 낭만적으로 보이는 첫 만남 이후 둘은 모든 걸 이야기하고 비밀 없는 사이가 되지만, 그 첫사랑이 잔잔한 물처럼 평탄하지만은 않다. 모르는 사이에 디뎌 빠져나올 수 없이 빨려드는 와류처럼 둘의 관계는 우연한 사건으로 다른 국면을 맞이한다. 도담과 해솔의 관계가 연인으로 발전하던 어느 날, 해솔의 엄마와 도담의 아빠가 불륜 관계인 듯한 정황이 드러나고 이에 화가 난 도담은 그 둘이 은밀히 만나기로 한 날 밤 랜턴을 들고 그들의 뒤를 밟는다. 그리고 그곳에서 생각지도 못한 사고가 벌어진다. 그날 이후, 진평에서 오직 서로가 전부이던, 나누지 못할 비밀이 없던 도담과 해솔의 관계와 삶은 순식간에 바뀌어 버린다. 해솔의 엄마와 도담의 아빠는 어떤 관계였던 걸까? 그 날, 그 밤 도담과 해솔은 어떤 일을 겪게 된 걸까?"
어른의 관계를 가꾸는 100일 필사 노트,김종원,,,,,,,청림Life,2025년 09월,18000,9.9,40,https://www.yes24.com/product/goods/151657789,양,국내도서 자기계발 처세술 삶의 자세,"“관계는 정원을 가꾸는 것과 같다!”진심은 담고 불필요한 것들은 솎아내는120만 멘토 김종원 작가의 관계 철학! 그 인간관계의 정수를 100일 필사로 만나다!120만 멘토 김종원 작가가 화제의 베스트셀러 《어른의 품격을 채우는 100일 필사 노트》에 이어서 두 번째로 펴낸 100일 필사집이다. 이번 책에서는 인간관계의 본질을 파헤치고, 필사하는 것만으로도 그 정수를 내면에 채울 수 있는 문장들을 가득 담았다.   자가 말하는 관계의 품격이란 “관계를 넓히는 게 아니라 지혜롭게 좁히는” 데서 비롯된다. 진심을 담아 사람을 대하되, 더 소중한 것에 마음 쓰기 위해서는 불필요한 것들을 덜어낼 줄도 알아야 한다는 것이다.  이를 위해 책 속에는 지혜롭게 관계를 맺는 법, 나의 생각과 감정을 다정하게 표현하는 법, 무례한 사람에게 상처받지 않는 법, 누구를 만나든 나다움을 잃지 않고 당당해지는 법 등 ‘관계’라는 정원을 잘 가꾸기 위한 다채로운 지혜를 전한다. 삶의 철학이 있는 어른은 결코 인간관계에 흔들리지 않으며, 이 책은 그 답을 찾아가는 여정의 시작이 될 것이다. 이제 타인이라는 세계 속에서 나를 되찾아줄 문장들을 만나보자."
