hotel_id,hotel_name,hotel_grade,hotel_riviewCount,hotel_rating,cleanliness,service,comfort,condition,neighbourhood,hotel_locality,hotel_region
1052444832,호텔야자 포항영일대점 (Hotel YaJa Pohang Yeongildae),2.5,10,7.6,8.2,8.2,7.8,8.2,10.0,포항시,경상북도
1737623712,대천323콘도 (Daecheon 323 Condo),3.0,8,7.6,8.2,0.0,7.4,8.0,0.0,보령시,충청남도
1737623712,대천323콘도 (Daecheon 323 Condo),3.0,8,7.6,8.2,0.0,7.4,8.0,0.0,보령시,충청남도
1334773920,대구 공항 소호 하우스 호텔 (Soho House Hotel),2.5,19,8.0,8.4,7.8,8.2,8.2,0.0,대구광역시,대구광역시
1334773920,대구 공항 소호 하우스 호텔 (Soho House Hotel),2.5,19,8.0,8.4,7.8,8.2,8.2,0.0,대구광역시,대구광역시
493752,오리엔스 호텔 & 레지던스 (Oriens Hotel & Residences),3.5,306,8.8,8.6,9.2,8.6,8.4,8.4,서울특별시,서울특별시
493752,오리엔스 호텔 & 레지던스 (Oriens Hotel & Residences),3.5,306,8.8,8.6,9.2,8.6,8.4,8.4,서울특별시,서울특별시
493752,오리엔스 호텔 & 레지던스 (Oriens Hotel & Residences),3.5,306,8.8,8.6,9.2,8.6,8.4,8.4,서울특별시,서울특별시
493752,오리엔스 호텔 & 레지던스 (Oriens Hotel & Residences),3.5,306,8.8,8.6,9.2,8.6,8.4,8.4,서울특별시,서울특별시
493752,오리엔스 호텔 & 레지던스 (Oriens Hotel & Residences),3.5,306,8.8,8.6,9.2,8.6,8.4,8.4,서울특별시,서울특별시
493752,오리엔스 호텔 & 레지던스 (Oriens Hotel & Residences),3.5,306,8.8,8.6,9.2,8.6,8.4,8.4,서울특별시,서울특별시
493752,오리엔스 호텔 & 레지던스 (Oriens Hotel & Residences),3.5,306,8.8,8.6,9.2,8.6,8.4,8.4,서울특별시,서울특별시
493752,오리엔스 호텔 & 레지던스 (Oriens Hotel & Residences),3.5,306,8.8,8.6,9.2,8.6,8.4,8.4,서울특별시,서울특별시
1838123200,애월 스테이 인 제주 호텔 & 리조트 (Aewol Stay in Jeju Hotel & Resort),2.5,77,9.0,9.0,9.0,8.8,9.0,0.0,제주시,제주특별자치도
1838123200,애월 스테이 인 제주 호텔 & 리조트 (Aewol Stay in Jeju Hotel & Resort),2.5,77,9.0,9.0,9.0,8.8,9.0,0.0,제주시,제주특별자치도
1838123200,애월 스테이 인 제주 호텔 & 리조트 (Aewol Stay in Jeju Hotel & Resort),2.5,77,9.0,9.0,9.0,8.8,9.0,0.0,제주시,제주특별자치도
641829056,비치갤러리펜션 (Beach Gallery Pension ),3.0,5,6.4,5.0,6.0,4.6,4.6,8.0,동해시,강원도
641829056,비치갤러리펜션 (Beach Gallery Pension ),3.0,5,6.4,5.0,6.0,4.6,4.6,8.0,동해시,강원도
1040419008,오션 하우스 (Ocean House),2.5,13,9.0,8.8,8.4,8.8,9.0,9.0,서귀포시,제주특별자치도
1040419008,오션 하우스 (Ocean House),2.5,13,9.0,8.8,8.4,8.8,9.0,9.0,서귀포시,제주특별자치도
